direction,entryPrice,exitPrice,pnl,rMultiple,entryTimestamp,exitTimestamp,barsHeld,exitType,entryComment
short,106415.7777,107096.48949999998,-4.704022452989027,-0.4439562471446046,2025-10-18T16:45:00.000Z,2025-10-19T05:00:00.000Z,49,signal,"Squeeze release short — dual TP"
short,105819.5745,107221.51439999999,-7.691584710188624,-0.730803358268032,2025-11-03T15:30:00.000Z,2025-11-04T03:45:00.000Z,49,signal,"Squeeze release short — dual TP"
short,102598.5987,99672.69033840382,3.718612028052584,0.8991343408350976,2025-11-04T16:30:00.000Z,2025-11-04T20:15:00.000Z,15,tp1,"Squeeze release short — dual TP"
short,102598.5987,102118.51649999998,0.6440720163680397,0.10382140137569637,2025-11-04T16:30:00.000Z,2025-11-05T04:45:00.000Z,49,signal,"Squeeze release short — dual TP"
short,102697.29990000001,103354.45119999998,-3.3046690035452575,-0.31722076452157427,2025-11-06T01:30:00.000Z,2025-11-06T13:45:00.000Z,49,signal,"Squeeze release short — dual TP"
short,101703.7944,102106.90489999998,-2.817835336087492,-0.2679844879527365,2025-11-08T12:00:00.000Z,2025-11-09T00:15:00.000Z,49,signal,"Squeeze release short — dual TP"
short,104741.7534,106850.02764609698,-11.899985795540172,-1.1277220984022862,2025-11-10T15:00:00.000Z,2025-11-11T01:15:00.000Z,41,sl,"Squeeze release short — dual TP"
short,104189.4063,103227.9248,3.765857376073874,0.35905308661783164,2025-11-11T13:30:00.000Z,2025-11-12T01:45:00.000Z,49,signal,"Squeeze release short — dual TP"
short,103844.5515,102119.71190406274,3.561400055788734,0.8424642603378529,2025-11-12T15:00:00.000Z,2025-11-12T15:45:00.000Z,3,tp1,"Squeeze release short — dual TP"
short,103844.5515,101205.31785609412,6.9067386702912845,1.307054617636916,2025-11-12T15:00:00.000Z,2025-11-12T19:00:00.000Z,16,tp2,"Squeeze release short — dual TP"
short,103844.5515,101399.99869999998,1.2514232620501415,1.1841178820885572,2025-11-12T15:00:00.000Z,2025-11-13T03:15:00.000Z,49,signal,"Squeeze release short — dual TP"
